Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/5/2012,12:00,25.5,19.2,68,11,24.1,100.54,Mainly Clear
9/5/2012,13:00,25.9,18.3,63,11,24.1,100.52,Mainly Clear
9/5/2012,14:00,26.4,18.1,60,13,24.1,100.49,Mainly Clear
9/5/2012,15:00,26.2,17.6,59,11,24.1,100.47,Mainly Clear
9/5/2012,16:00,27.0,17.7,57,9,24.1,100.45,Mainly Clear
9/5/2012,17:00,26.1,17.2,58,13,24.1,100.44,Mainly Clear
9/5/2012,18:00,25.8,17.1,59,9,24.1,100.5,Mainly Clear
9/5/2012,23:00,22.1,18.1,78,6,25.0,100.53,Mainly Clear
9/6/2012,0:00,21.3,18.1,82,7,25.0,100.53,Mainly Clear
9/6/2012,2:00,21.3,18.5,84,7,25.0,100.55,Mainly Clear
9/6/2012,4:00,21.1,18.8,87,7,25.0,100.54,Mainly Clear
9/6/2012,9:00,23.1,18.3,74,6,24.1,100.59,Mainly Clear
9/6/2012,10:00,24.7,17.8,65,6,24.1,100.55,Mainly Clear
9/6/2012,11:00,26.1,18.1,61,13,24.1,100.5,Mainly Clear
9/6/2012,12:00,26.8,17.3,56,15,24.1,100.45,Mainly Clear
9/6/2012,13:00,27.9,17.5,53,11,24.1,100.41,Mainly Clear
9/6/2012,15:00,28.2,18.4,55,13,24.1,100.3,Mainly Clear
9/6/2012,16:00,27.6,17.9,56,19,24.1,100.31,Mainly Clear
9/6/2012,17:00,26.9,17.6,57,17,24.1,100.36,Mainly Clear
9/6/2012,18:00,24.8,16.5,60,9,24.1,100.38,Mainly Clear
9/6/2012,19:00,22.6,16.5,68,6,25.0,100.42,Mainly Clear
9/6/2012,20:00,22.5,16.8,70,11,25.0,100.47,Clear
9/6/2012,21:00,21.4,15.1,67,7,25.0,100.52,Mainly Clear
9/6/2012,22:00,19.6,15.0,75,9,25.0,100.55,Mainly Clear
9/6/2012,23:00,20.2,14.6,70,0,25.0,100.59,Mainly Clear
9/7/2012,0:00,18.1,14.8,81,4,24.1,100.62,Clear
9/7/2012,1:00,18.7,14.5,77,4,25.0,100.62,Clear
9/7/2012,2:00,17.6,15.6,88,9,25.0,100.62,Mainly Clear
